City,nYears,YearMin,YearMax,Slope_TopNDVI,Slope_BotNDVI,Slope_GapNDVI,Slope_TopLST,Slope_BotLST,Slope_GapLST,Delta_GapNDVI,Delta_GapLST,Span_Decades,NDVI_Balance,NDVI_Mechanism,LME_DeltaSlope_NDVI,LME_CI_L_NDVI,LME_CI_U_NDVI,LME_DeltaSlope_LST,LME_CI_L_LST,LME_CI_U_LST
ColumbusOH,5,1990,2023,0.00808011538431475,0.0226398178725817,-0.0145597024882669,0.493997235285716,0.268762216474318,-0.225235018811399,-0.0480470182112808,-0.743275562077616,3.3,0.0145597024882669,uplift (bottom-tail greening),-0.00132238920615398,-0.00692057115705609,0.00427579274474813,0.231782533550884,0.0366719813932919,0.426893085708477
CorpusChristi,5,1990,2023,0.0374536966230117,0.0290596177680767,0.00839407885493502,2.03912380074264,2.51476329093282,0.475639490190177,0.0277004602212856,1.56961031762759,3.3,-0.00839407885493502,erosion (top-tail decline),-0.0120833670537437,-0.0176815490046458,-0.00648518510284163,0.53539105907056,0.340280506912968,0.730501611228153
Dallas,5,1990,2023,0.00268396689654575,-0.00527327937381703,0.00795724627036277,0.979069669099434,1.20529529054385,0.226225621444415,0.0262589126921972,0.746544550766571,3.3,0.00258931247727128,uplift (bottom-tail greening),-0.0208240492480224,-0.0264222311989245,-0.0152258672971203,0.563188801182831,0.368078249025238,0.758299353340423
Denver,5,1990,2023,-0.0037888838817383,-0.00230266709447843,-0.00148621678725987,1.38938972779457,1.46883405121045,0.0794443234158788,-0.00490451539795756,0.2621662672724,3.3,-0.00148621678725987,erosion (top-tail decline),-0.00417247231765562,-0.00977065426855773,0.00142570963324649,0.31505140353123,0.119940851373637,0.510161955688822
DesMoinesIA,5,1990,2023,0.00968770981170229,0.00994930897079743,-0.000261599159095136,1.68426896856217,1.67164943373715,-0.0126195348250173,-0.000863277225013948,-0.0416444649225572,3.3,0.000261599159095136,both,-0.00971840155062328,-0.0153165835015254,-0.00412021959972117,0.0822909890710239,-0.112819563086569,0.277401541228616
Detroit,5,1990,2023,0.0100550595806683,0.0225315205136031,-0.0124764609329347,1.48201742963518,1.00422063412218,-0.477796795512997,-0.0411723210786846,-1.57672942519289,3.3,0.0124764609329347,uplift (bottom-tail greening),-0.00354693283946675,-0.00914511479036886,0.00205124911143536,0.087518798386339,-0.107591753771253,0.282629350543931
ElPaso,5,1990,2023,-0.0216622909532512,-0.0153165725449471,-0.00634571840830403,2.97091770650319,2.44491495056577,-0.526002755937423,-0.0209408707474033,-1.7358090945935,3.3,-0.00634571840830403,erosion (top-tail decline),-0.0370177184756857,-0.0426159004265878,-0.0314195365247836,0.574724720834399,0.379614168676806,0.769835272991991
FargoND,5,1990,2023,0.0166070007903056,-0.00430169915700736,0.020908699947313,0.585872497365654,1.1040417544784,0.518169257112745,0.0689987098261328,1.70995854847206,3.3,-0.0123053016332982,erosion (top-tail decline),0.00655183088230602,0.000953648931403911,0.0121500128332081,0.0830598474906487,-0.112050704666944,0.278170399648241
FortCollins,5,1990,2023,0.0278568809272919,0.0137999143835617,0.0140569665437303,1.01138610379347,1.37749516596418,0.366109062170709,0.0463879895943098,1.20815990516334,3.3,-0.0140569665437303,erosion (top-tail decline),-0.0170739075117716,-0.0226720894626737,-0.0114757255608695,0.223249999520594,0.0281394473630014,0.418360551678186
Fresno,5,1990,2023,0.00937351523695191,0.00299432156348193,0.00637919367346998,2.51710600978065,2.29514120402103,-0.221964805759624,0.0210513391224509,-0.73248385900676,3.3,-0.00637919367346998,erosion (top-tail decline),-0.00534127569619779,-0.0109394576470999,0.000256906254704315,0.421798042593879,0.226687490436286,0.616908594751471
